ReturnID,OrderID,ReturnDate,ReturnReason,RefundAmount,RefundStatus
224,71308,8/19/2022,Product Not as Described,23153.61,Refunded
225,67087,7/13/2022,Changed Mind,47522.91,Pending
226,40494,7/25/2022,Defective Item,828.39,Pending
227,6032,9/16/2024,Quality Issue,3086.46,Refunded
228,19969,10/17/2025,Duplicate Order,8223.52,Refunded
229,93621,12/31/2022,Late Delivery,29471.53,Refunded
230,3700,1/22/2023,Missing Parts,30158.45,Pending
231,17406,11/9/2022,Late Delivery,5899.49,Refunded
232,42753,7/7/2022,Duplicate Order,8441.27,Refunded
233,16504,2/3/2026,Changed Mind,39577.33,Refunded
234,84872,1/14/2024,Size Issue,18002.3,Refunded
235,98417,10/6/2025,Damaged Product,12050.81,Refunded
236,80278,6/23/2022,Damaged Product,27882.82,Refunded
237,27603,6/3/2022,Late Delivery,23972.54,Refunded
238,80008,11/16/2024,Wrong Item Delivered,20091.58,Refunded
239,48229,1/14/2023,Defective Item,4458.25,Pending
240,80013,5/29/2025,Quality Issue,17485.07,Refunded
241,56837,2/5/2024,Quality Issue,5476.13,Refunded
242,57914,8/29/2025,Quality Issue,19143.14,Refunded
243,57170,8/16/2023,Late Delivery,18017.79,Refunded
244,55567,8/5/2025,Product Not as Described,28116.99,Refunded
245,68753,9/18/2023,Late Delivery,6481.34,Pending
246,35009,9/17/2025,Defective Item,16795.79,Pending
247,26112,5/8/2024,Late Delivery,12687.23,Pending
248,6447,6/6/2023,Changed Mind,5868.97,Refunded
249,54294,2/21/2024,Size Issue,35072.31,Refunded
250,92778,4/4/2026,Changed Mind,36070.65,Pending
251,79072,1/22/2026,Product Not as Described,44585.57,Refunded
252,14437,7/3/2024,Product Not as Described,1006.8,Refunded
253,64146,9/28/2023,Wrong Item Delivered,36663.41,Refunded
254,63995,9/11/2022,Missing Parts,32406.6,Refunded
255,80969,8/22/2025,Changed Mind,13306.54,Refunded
256,76736,6/28/2023,Missing Parts,35400.32,Pending
257,16334,4/2/2023,Product Not as Described,47879.23,Pending
258,36137,11/5/2024,Changed Mind,30707.65,Pending
259,64879,7/3/2025,Duplicate Order,2247.76,Refunded
260,11459,2/5/2025,Changed Mind,47932.99,Refunded
261,41725,6/20/2024,Damaged Product,13207.08,Refunded
262,74798,1/18/2024,Duplicate Order,49583.16,Refunded
263,7382,11/10/2022,Changed Mind,17117.12,Rejected
264,163,1/10/2026,Size Issue,43108.09,Refunded
265,12368,3/16/2024,Damaged Product,9149.48,Refunded
266,82014,1/10/2024,Size Issue,46849.86,Refunded
267,9151,1/18/2023,Size Issue,19053.38,Refunded
268,60251,8/18/2025,Defective Item,40010.64,Refunded
269,96643,2/3/2022,Size Issue,22187.48,Pending
270,47032,10/25/2025,Defective Item,22982.71,Refunded
271,1965,10/11/2025,Quality Issue,48268.93,Refunded
272,84084,3/15/2024,Product Not as Described,8561.57,Refunded
273,78955,5/27/2023,Product Not as Described,5741.95,Rejected
274,34392,10/25/2022,Changed Mind,24365.13,Pending
275,18140,2/21/2022,Wrong Item Delivered,31563.89,Processed
276,9209,11/12/2022,Damaged Product,30923.64,Refunded
277,92760,9/28/2024,Damaged Product,6793.48,Refunded
278,93163,12/4/2024,Damaged Product,9948.49,Processed
279,38150,1/28/2023,Duplicate Order,5505.19,Refunded
280,62831,7/25/2025,Product Not as Described,22081.82,Pending
281,66146,9/23/2022,Changed Mind,36918.27,Refunded
282,14370,9/11/2022,Wrong Item Delivered,1753.36,Refunded
283,78002,1/5/2023,Size Issue,3239.8,Refunded
284,89037,8/21/2022,Late Delivery,10807.19,Refunded
285,81998,1/26/2024,Damaged Product,15311.71,Refunded
286,15728,4/20/2022,Late Delivery,20890.12,Pending
287,13482,11/30/2024,Defective Item,33797.92,Refunded
288,19191,2/9/2026,Changed Mind,24098.58,Processed
289,82722,3/10/2025,Defective Item,40723.51,Refunded
290,44800,3/10/2024,Duplicate Order,31059.04,Refunded
291,16298,3/11/2024,Late Delivery,587.94,Refunded
292,44308,12/19/2024,Duplicate Order,40446.26,Refunded
293,1942,3/26/2025,Changed Mind,23330.84,Refunded
294,79335,11/24/2022,Duplicate Order,30171.37,Refunded
295,56454,12/30/2023,Size Issue,14581.8,Processed
296,8168,10/13/2023,Damaged Product,5785.41,Refunded
297,75918,7/28/2022,Size Issue,10281.15,Refunded
298,34753,8/7/2025,Changed Mind,39881.4,Refunded
299,22100,11/24/2025,Damaged Product,23407.46,Refunded
300,23723,10/29/2023,Duplicate Order,43227.09,Rejected
301,64895,8/1/2022,Defective Item,38905.74,Refunded
302,5967,12/28/2024,Defective Item,6149.69,Refunded
303,73074,12/1/2025,Size Issue,3237.54,Processed
304,87785,6/24/2022,Quality Issue,22326.88,Refunded
305,55257,8/31/2022,Missing Parts,42041.4,Refunded
306,26832,12/18/2022,Size Issue,31446.11,Pending
307,15673,12/10/2022,Size Issue,11006.44,Refunded
308,49741,3/26/2024,Duplicate Order,31063.25,Refunded
309,77978,2/6/2025,Changed Mind,24623.87,Refunded
310,74120,6/14/2023,Duplicate Order,33892.19,Pending
311,94913,7/26/2024,Quality Issue,30602.9,Rejected
312,83257,11/28/2025,Missing Parts,32291.4,Pending
313,75886,6/28/2023,Late Delivery,45983.89,Refunded
314,13978,10/1/2024,Changed Mind,43757.01,Refunded
315,10528,10/30/2022,Size Issue,41293.81,Processed
316,49368,6/15/2024,Quality Issue,6077.87,Pending
317,45884,4/13/2022,Wrong Item Delivered,28746.56,Refunded
318,95117,10/22/2022,Missing Parts,35627.18,Processed
319,65914,2/18/2024,Product Not as Described,10562.83,Pending
320,62927,7/16/2023,Damaged Product,15619.46,Refunded
321,82219,6/19/2023,Duplicate Order,48792.15,Refunded
322,80407,12/14/2023,Duplicate Order,44106.46,Refunded
323,60147,7/12/2025,Product Not as Described,19914.09,Refunded
324,23395,5/7/2023,Quality Issue,30728.91,Refunded
325,48236,9/28/2022,Duplicate Order,32546.74,Pending
326,21490,8/9/2024,Product Not as Described,18744.15,Refunded
327,11504,8/25/2023,Missing Parts,33314.99,Rejected
328,45531,11/5/2022,Missing Parts,26444.06,Refunded
329,84489,5/28/2022,Wrong Item Delivered,39260.05,Refunded
330,52457,5/23/2023,Product Not as Described,16384.23,Refunded
331,42721,11/24/2023,Duplicate Order,19954.74,Refunded
332,8888,2/4/2022,Missing Parts,40931.07,Refunded
333,70438,8/2/2022,Missing Parts,18319.9,Refunded
334,14536,3/21/2025,Product Not as Described,7928.08,Refunded
335,60318,2/8/2025,Changed Mind,11037.75,Pending
336,11764,2/19/2022,Late Delivery,15773.47,Refunded
337,9294,9/7/2023,Quality Issue,35103.53,Pending
338,89354,12/6/2025,Quality Issue,683.62,Processed
339,51654,12/31/2023,Quality Issue,12605.61,Refunded
340,59119,2/22/2025,Changed Mind,34318.32,Pending
341,93610,8/5/2022,Late Delivery,11193.95,Refunded
342,6570,11/29/2023,Missing Parts,1281.07,Processed
343,70658,3/16/2026,Wrong Item Delivered,47663.1,Refunded
344,37481,11/23/2022,Quality Issue,23385.53,Refunded
345,69366,11/21/2022,Wrong Item Delivered,29829.61,Refunded
346,52421,8/23/2022,Changed Mind,43426.33,Pending
347,26118,10/13/2024,Quality Issue,24594.44,Rejected
348,20250,12/24/2022,Changed Mind,12532.93,Refunded
349,19557,10/27/2022,Wrong Item Delivered,11250.37,Refunded
350,41021,6/8/2023,Wrong Item Delivered,31303.24,Refunded
351,64208,1/23/2025,Missing Parts,32498.28,Refunded
352,37380,12/12/2022,Duplicate Order,10623.11,Pending
353,10414,9/19/2025,Product Not as Described,33971.43,Pending
354,43593,8/7/2023,Damaged Product,27861.76,Pending
355,32497,6/17/2022,Product Not as Described,37454.54,Processed
356,24685,7/26/2022,Missing Parts,6965.44,Pending
357,467,5/8/2025,Late Delivery,19787.03,Refunded
358,5338,12/25/2024,Wrong Item Delivered,23783.74,Rejected
359,98692,4/10/2025,Changed Mind,4869.82,Refunded
360,65025,5/8/2026,Defective Item,26118.27,Pending
361,60666,1/8/2026,Damaged Product,9873.09,Refunded
362,39481,11/29/2022,Product Not as Described,36062.1,Rejected
363,49514,4/7/2023,Changed Mind,48049.07,Refunded
364,77700,11/22/2025,Wrong Item Delivered,15119.04,Refunded
365,78155,4/19/2022,Late Delivery,37126.52,Refunded
366,56930,4/14/2022,Product Not as Described,1720.2,Refunded
367,19559,2/25/2025,Product Not as Described,41623.67,Refunded
368,74841,4/4/2022,Defective Item,38073.52,Refunded
369,74862,6/22/2023,Duplicate Order,18380.53,Refunded
370,12308,10/5/2024,Late Delivery,6994.66,Refunded
371,83705,10/5/2022,Late Delivery,24611.49,Refunded
372,84680,2/26/2026,Size Issue,41562.56,Refunded
373,20242,9/20/2023,Missing Parts,35506.12,Pending
374,39243,6/10/2024,Quality Issue,48314.34,Refunded
375,43289,3/3/2026,Duplicate Order,49208.59,Pending
376,87345,2/26/2022,Late Delivery,23334.68,Pending
377,71861,4/13/2023,Defective Item,17528.02,Pending
378,19437,11/30/2022,Quality Issue,12310.82,Refunded
379,29251,5/6/2025,Changed Mind,20897.26,Pending
380,97775,3/8/2024,Quality Issue,12065.02,Refunded
381,70115,6/28/2022,Damaged Product,14501.62,Pending
382,6347,7/12/2024,Damaged Product,45685.58,Refunded
383,78028,3/19/2024,Quality Issue,4545.84,Rejected
384,26735,5/12/2022,Damaged Product,37119.71,Pending
385,58178,1/13/2023,Quality Issue,45577.43,Refunded
386,12460,2/28/2024,Late Delivery,40154.57,Refunded
387,89933,11/29/2024,Changed Mind,23120.15,Refunded
388,10707,5/9/2022,Wrong Item Delivered,30672.51,Refunded
389,67312,11/21/2025,Size Issue,23882.02,Refunded
390,49698,12/2/2022,Quality Issue,40790.94,Refunded
391,55431,2/1/2024,Wrong Item Delivered,45418.13,Refunded
392,48806,4/6/2024,Quality Issue,27989.7,Processed
393,21358,2/10/2026,Product Not as Described,22321.35,Refunded
394,69045,12/16/2024,Quality Issue,33425.3,Rejected
395,34767,5/7/2022,Size Issue,28736.04,Refunded
396,96863,8/16/2023,Product Not as Described,43232.18,Refunded
397,34756,8/21/2025,Changed Mind,10065.16,Pending
398,8803,5/9/2024,Size Issue,19522.05,Refunded
399,3720,9/28/2023,Wrong Item Delivered,13130.32,Refunded
400,19355,9/6/2024,Wrong Item Delivered,44388.21,Pending
401,87183,2/16/2026,Quality Issue,30885.98,Rejected
402,19796,5/1/2024,Missing Parts,34736.77,Refunded
403,75375,1/13/2025,Missing Parts,11685.33,Refunded
404,98134,10/26/2025,Damaged Product,27896.85,Refunded
405,57243,8/25/2025,Missing Parts,40596.74,Refunded
406,1270,2/17/2022,Missing Parts,38891.22,Pending
407,49991,8/11/2025,Size Issue,12761.71,Refunded
408,66086,2/25/2025,Duplicate Order,15920.96,Processed
409,2647,3/14/2025,Size Issue,20876.42,Pending
410,39157,7/22/2025,Defective Item,47268.7,Refunded
411,99498,9/16/2023,Product Not as Described,4595.51,Processed
412,78089,9/16/2024,Size Issue,42046.13,Rejected
413,13274,7/27/2025,Quality Issue,49219.07,Refunded
414,90971,5/4/2022,Quality Issue,35005.19,Refunded
415,54443,5/30/2025,Wrong Item Delivered,39338.78,Pending
416,60766,9/11/2024,Wrong Item Delivered,8545.38,Refunded
417,17578,10/31/2022,Quality Issue,27409.07,Refunded
418,33629,9/26/2023,Size Issue,5629.34,Refunded
419,45802,1/24/2025,Late Delivery,15634.74,Refunded
420,45873,10/27/2025,Duplicate Order,3052.28,Refunded
421,81343,1/11/2026,Size Issue,13296.62,Refunded
422,2774,9/5/2025,Size Issue,17260.84,Processed
423,35097,7/13/2025,Late Delivery,11330.15,Processed
424,42050,1/10/2026,Defective Item,36104.18,Refunded
425,56530,10/24/2025,Product Not as Described,19947.53,Pending
426,96778,8/18/2025,Size Issue,21241.25,Pending
427,31334,11/15/2024,Wrong Item Delivered,35825.64,Refunded
428,80837,4/18/2022,Late Delivery,31317.88,Refunded
429,94141,11/5/2024,Product Not as Described,45769.15,Refunded
430,65289,12/3/2025,Defective Item,43743.72,Refunded
431,20848,11/8/2025,Damaged Product,27612.04,Refunded
432,66328,7/7/2025,Missing Parts,42448.99,Processed
433,27098,8/15/2023,Damaged Product,25274.94,Refunded
434,23743,10/22/2022,Damaged Product,42458.35,Refunded
435,53226,4/27/2022,Missing Parts,48999.85,Pending
436,68130,9/12/2022,Late Delivery,19868.14,Refunded
437,58382,2/3/2022,Defective Item,3590.8,Refunded
438,27805,12/15/2024,Duplicate Order,29128.84,Pending
439,83503,12/31/2023,Size Issue,10540.5,Refunded
440,18502,10/20/2023,Wrong Item Delivered,28106.77,Refunded
441,52677,4/28/2023,Damaged Product,5083.15,Pending
442,48622,7/18/2023,Wrong Item Delivered,47399.45,Refunded
443,94846,12/31/2022,Product Not as Described,20071.09,Pending
444,64821,10/6/2023,Missing Parts,32520.84,Refunded
445,58666,5/20/2024,Damaged Product,29323.95,Pending
446,69732,1/29/2023,Size Issue,7029.66,Refunded
447,27384,11/25/2024,Size Issue,40299.93,Refunded
448,50103,9/4/2023,Damaged Product,33190.07,Refunded
449,15559,1/23/2025,Late Delivery,25625.9,Refunded
450,55668,8/31/2025,Changed Mind,37345.32,Refunded
451,51184,3/20/2025,Quality Issue,37325.42,Pending
452,81429,11/13/2023,Late Delivery,12874.13,Pending
453,75427,7/27/2023,Size Issue,11656.29,Refunded
454,42695,2/2/2022,Changed Mind,47891.95,Refunded
455,9934,3/20/2022,Product Not as Described,22562.77,Pending
456,61775,6/26/2025,Late Delivery,41350.18,Pending
457,69324,9/4/2024,Quality Issue,47298.44,Refunded
458,34956,2/26/2026,Damaged Product,32678.43,Refunded
459,32202,7/19/2024,Damaged Product,47214.1,Refunded
460,21121,10/24/2024,Wrong Item Delivered,11276.33,Refunded
461,95484,7/12/2024,Wrong Item Delivered,330.6,Refunded
462,38613,2/1/2026,Size Issue,31148.13,Pending
463,71317,3/24/2025,Changed Mind,26252.3,Refunded
464,79678,6/25/2024,Defective Item,15472.51,Refunded
465,72085,10/30/2022,Wrong Item Delivered,38790.84,Pending
466,74057,9/13/2023,Late Delivery,32406,Pending
467,32546,5/18/2024,Product Not as Described,46341.36,Refunded
468,58609,7/31/2025,Missing Parts,35321.45,Pending
469,59603,6/4/2025,Size Issue,25545.09,Refunded
470,2620,9/8/2023,Changed Mind,43716.21,Refunded
471,58229,12/5/2022,Wrong Item Delivered,49234.24,Processed
472,22244,11/10/2025,Missing Parts,1073.37,Rejected
473,8726,12/9/2022,Late Delivery,38382.58,Refunded
474,25015,7/25/2023,Late Delivery,37808.24,Refunded
475,40257,6/14/2022,Defective Item,32144.92,Refunded
476,75227,6/9/2024,Quality Issue,33635.03,Refunded
477,70421,5/24/2024,Missing Parts,19829.7,Refunded
