ProductID,ProductCode,ProductName,CategoryID,BrandID,SupplierID,CostPrice,SellingPrice,StockQuantity,ReorderLevel,Weight,Color,WarrantyMonths,LaunchDate,ProductStatus
55,PRD000055,Advanced Backpack 55,2,94,156,30082.08,41692.64,226,30,19.24,Red,6,10/3/2024,Active
56,PRD000056,Premium Laptop 56,10,51,265,22212.46,35302.73,150,20,2.41,White,12,4/28/2022,Active
57,PRD000057,Compact Shoes 57,6,85,29,5232.11,8285.78,471,50,15.44,Silver,6,10/5/2024,Active
58,PRD000058,Compact Speaker 58,18,1,43,33459.19,48336.93,287,50,3.91,Blue,6,3/3/2026,Active
59,PRD000059,Eco Blender 59,20,60,101,34808.92,54055.48,89,10,3.58,Green,12,6/3/2026,Active
60,PRD000060,Wireless Camera 60,15,76,181,22716.14,33562.07,20,30,2.65,Blue,6,3/2/2025,Active
61,PRD000061,Portable Sofa 61,6,36,282,19174.99,27751.1,259,20,17.91,Green,6,1/16/2023,Active
62,PRD000062,Pro Router 62,21,48,52,2525.73,3586.48,143,30,24.66,Gray,12,3/12/2022,Active
63,PRD000063,Pro T-Shirt 63,21,58,107,30294.21,42641.03,144,10,15.26,Black,36,1/6/2026,Active
64,PRD000064,Portable Phone 64,1,28,74,24218.35,32913.07,334,50,8.95,Silver,36,12/28/2025,Active
65,PRD000065,Compact Desk 65,2,16,186,32616.12,48230.79,319,20,24.55,Silver,12,4/28/2026,Active
66,PRD000066,Classic Router 66,2,92,294,26043.41,37056.14,154,50,19.44,Red,12,6/13/2026,Active
67,PRD000067,Elite Book 67,5,83,143,12478.14,18112.31,438,50,17.69,Red,24,7/18/2021,Active
68,PRD000068,Elite Vacuum 68,10,79,229,11018.44,17311.82,248,30,11.37,White,12,12/27/2023,Active
69,PRD000069,Advanced Bottle 69,18,45,269,32307.19,37632.28,256,30,22.68,Green,6,4/25/2022,Active
70,PRD000070,Digital Chair 70,6,82,70,42857.4,64849.61,58,50,9.48,Red,6,2/4/2024,Active
71,PRD000071,Portable Laptop 71,20,21,60,17828.62,24589.92,331,20,18.95,Green,36,5/22/2021,Active
72,PRD000072,Essential Watch 72,23,9,227,49846.77,67225.06,379,10,18.97,Silver,6,11/10/2024,Active
73,PRD000073,Luxury Power Bank 73,18,17,165,5143.04,7984.69,15,50,5.65,White,24,10/10/2023,Active
74,PRD000074,Mini Router 74,7,84,56,9457.15,12445.75,177,50,19.07,Blue,36,3/10/2023,Active
75,PRD000075,Premium Backpack 75,20,34,275,19240.94,24379.18,472,30,22.34,Red,12,1/10/2024,Active
76,PRD000076,Portable Vacuum 76,20,27,272,30562.58,38920.08,263,30,2.46,Blue,6,2/27/2022,Active
77,PRD000077,Essential Laptop 77,18,16,119,1651.77,2478.22,16,30,8.26,Black,12,3/22/2022,Active
78,PRD000078,Max Tablet 78,1,20,273,14170.51,19886.47,336,10,18.09,Red,6,12/12/2026,Active
79,PRD000079,Mini T-Shirt 79,17,53,91,30684.66,45575.82,440,10,12.06,White,24,4/24/2021,Active
80,PRD000080,Essential Book 80,19,65,293,19429.51,28727.23,132,20,2.75,Black,36,7/8/2021,Active
81,PRD000081,Mini T-Shirt 81,25,24,238,40386.24,61839.38,459,30,17.59,Gray,36,8/15/2021,Active
82,PRD000082,Classic Watch 82,18,70,220,17244.92,27280.93,313,30,5.73,Gray,36,3/17/2025,Active
83,PRD000083,Compact Bag 83,21,69,33,35790.49,43050.48,289,50,7.22,White,6,9/13/2023,Active
84,PRD000084,Pro Bottle 84,4,65,56,18084.87,26939.27,191,10,16.42,Gray,6,10/12/2026,Active
85,PRD000085,Mini Helmet 85,13,71,298,21109.46,29785.62,11,20,14.88,Silver,6,9/18/2023,Active
86,PRD000086,Essential Laptop 86,22,45,71,16851.9,22831.7,88,10,0.39,Silver,36,2/5/2024,Active
87,PRD000087,Classic Backpack 87,1,83,216,29340.64,46891.31,469,30,9.05,Black,6,9/25/2021,Active
88,PRD000088,Max SSD 88,11,79,86,29627.72,37243.77,111,10,3.39,Black,24,6/15/2025,Active
89,PRD000089,Eco Chair 89,7,77,142,1111,1756.51,97,30,20.27,Black,6,3/12/2021,Active
90,PRD000090,Essential Helmet 90,17,21,261,9286.29,14253.36,379,30,17.9,Silver,6,4/1/2026,Active
91,PRD000091,Ultra Book 91,23,71,134,33183.06,46646.57,310,50,19.38,Gray,36,2/18/2022,Active
92,PRD000092,Portable Monitor 92,22,57,175,25587.88,36404.12,82,30,23.77,Gray,6,3/22/2024,Active
93,PRD000093,Wireless Headphones 93,6,69,173,19443.39,30041.24,123,20,19.45,White,12,1/12/2021,Active
94,PRD000094,Classic Vacuum 94,9,74,35,29490.39,41224.09,464,10,5.38,Silver,6,8/2/2026,Active
95,PRD000095,Premium Headphones 95,14,69,18,45372.12,69994.92,390,10,21.6,Red,36,11/14/2021,Active
96,PRD000096,Smart Keyboard 96,17,94,97,591.3,923.02,450,50,0.32,Black,24,7/25/2022,Active
97,PRD000097,Advanced Bottle 97,5,56,133,35752.63,52770.81,295,20,12.85,Gray,24,2/26/2024,Active
98,PRD000098,Premium Watch 98,24,21,15,47384.31,68322.39,14,20,14.33,Gray,36,11/28/2023,Active
99,PRD000099,Luxury Watch 99,9,55,44,7357.33,11013.89,28,20,11,Black,36,3/9/2026,Active
100,PRD000100,Portable Printer 100,4,38,38,38160.87,46654.93,122,50,24.57,Red,12,9/17/2024,Active
101,PRD000101,Ultra Vacuum 101,7,8,167,20951.23,33275.28,351,50,3.61,Gray,6,2/1/2026,Active
102,PRD000102,Portable Power Bank 102,9,80,188,9385.16,11077.55,375,20,10.18,Red,24,12/9/2022,Active
103,PRD000103,Classic Mixer 103,22,43,259,24393.43,38150.32,367,10,2.43,Green,6,5/26/2021,Active
104,PRD000104,Portable Camera 104,9,34,288,17454.34,20400.66,122,50,20.52,Blue,36,1/15/2024,Active
105,PRD000105,Luxury SSD 105,9,68,46,4337.37,6780.11,163,30,1.5,White,6,12/8/2022,Active
106,PRD000106,Advanced Camera 106,7,32,7,5222.35,7366.49,341,20,7.31,Silver,36,4/24/2023,Active
107,PRD000107,Advanced Book 107,10,71,199,40585.35,64070.12,417,10,20.56,Black,24,5/1/2022,Active
108,PRD000108,Classic Phone 108,22,99,261,48296.43,59213.03,367,10,21.34,Blue,12,5/7/2021,Active
109,PRD000109,Essential Shoes 109,7,34,268,11386.09,15083.2,69,50,11.2,Red,12,3/17/2023,Active
110,PRD000110,Wireless Bottle 110,22,97,23,36513.12,48063.13,415,20,23.98,Blue,6,8/3/2021,Active
111,PRD000111,Advanced Keyboard 111,11,99,94,46205.34,71545.54,285,10,24.58,Gray,12,12/20/2024,Active
112,PRD000112,Advanced T-Shirt 112,25,51,231,10231.52,12708.45,97,50,13.08,Blue,24,2/17/2023,Active
113,PRD000113,Wireless Mouse 113,21,40,97,7821.53,12410.58,124,10,21.7,Gray,36,1/27/2026,Active
114,PRD000114,Eco Printer 114,11,53,1,19989.22,31808.55,154,50,6.09,Gray,6,3/11/2025,Active
115,PRD000115,Compact Laptop 115,10,79,202,46269.97,60722.9,220,30,2.05,Silver,24,2/4/2023,Active
116,PRD000116,Smart Shoes 116,5,55,135,30581.91,36441.95,298,10,23.24,Black,36,9/22/2023,Active
117,PRD000117,Luxury Vacuum 117,21,8,260,28538,33859.77,32,20,11.03,Black,12,7/27/2026,Active
118,PRD000118,Advanced Tablet 118,2,50,215,30879.03,48727.01,307,10,13.96,Black,24,12/26/2023,Active
119,PRD000119,Elite Fan 119,2,77,224,39302.54,59095.08,338,30,13.7,Green,24,12/15/2024,Active
120,PRD000120,Advanced Keyboard 120,6,55,96,8973.98,13043.41,433,10,16.93,Red,12,8/12/2022,Active
121,PRD000121,Portable Bag 121,11,32,298,16866.75,22699.59,265,20,2.57,Green,6,12/14/2026,Active
122,PRD000122,Mini Printer 122,18,4,93,27039.76,41155.54,107,20,5.2,Gray,12,3/20/2022,Active
123,PRD000123,Pro Desk 123,24,74,142,14713.07,17364.27,158,20,24.37,Green,12,4/8/2026,Active
124,PRD000124,Pro Backpack 124,25,4,140,2650.32,4163.91,421,10,24.98,White,24,4/18/2024,Active
125,PRD000125,Essential Desk 125,9,90,9,3901.3,4659.31,284,10,0.5,White,6,10/23/2023,Active
126,PRD000126,Classic Helmet 126,23,100,149,32918.36,42896.99,281,10,13.04,Silver,24,4/5/2026,Active
127,PRD000127,Eco Phone 127,14,28,14,34444.01,46468.6,198,10,2.77,Gray,12,7/22/2022,Active
128,PRD000128,Elite Mouse 128,24,25,281,2378.15,3629.31,81,10,13.84,White,24,7/25/2026,Active
129,PRD000129,Portable Toy 129,13,47,283,39976.22,55739.02,225,20,23.5,Blue,6,3/18/2026,Active
130,PRD000130,Luxury Vacuum 130,18,71,239,22404.4,27333.11,414,20,8.08,Blue,12,4/10/2023,Active
131,PRD000131,Eco Mixer 131,16,91,48,39747.9,53876.61,178,20,8.75,Black,24,9/11/2023,Active
132,PRD000132,Smart Bag 132,17,39,94,18680.72,21888.87,190,10,14.54,White,6,12/19/2022,Active
133,PRD000133,Ultra Toy 133,17,67,242,49411.49,78386.98,131,50,14.99,Silver,24,8/14/2024,Active
134,PRD000134,Portable Monitor 134,5,82,261,39704.33,61066.9,234,20,15.19,Green,36,9/23/2021,Active
135,PRD000135,Eco Desk 135,25,38,188,18177.16,22192.79,324,30,3.64,White,6,9/27/2021,Active
136,PRD000136,Compact Sofa 136,5,9,227,2406.4,3819.11,195,50,13.26,White,12,6/15/2023,Active
137,PRD000137,Wireless Camera 137,7,3,98,31484.3,42539.34,412,30,7.58,Silver,36,12/28/2025,Active
138,PRD000138,Essential Laptop 138,16,49,154,46758.96,74372.99,277,30,15.98,Green,6,5/26/2021,Active
139,PRD000139,Classic SSD 139,20,5,163,19555.16,31248.01,225,10,24.95,Blue,24,3/16/2022,Active
140,PRD000140,Premium Speaker 140,11,74,53,30822.3,45727.01,467,30,4.2,Blue,24,12/11/2023,Active
141,PRD000141,Premium Monitor 141,2,34,278,23073.04,31991.8,303,30,1.13,White,6,2/17/2022,Active
142,PRD000142,Pro Keyboard 142,5,32,223,33550.26,53236.9,413,10,16.89,Silver,24,1/12/2025,Active
143,PRD000143,Eco T-Shirt 143,8,31,263,32773.84,39736.03,411,20,0.24,Gray,36,10/26/2025,Active
144,PRD000144,Premium Tablet 144,11,47,217,22848.52,33663.28,14,50,21.5,Gray,6,3/5/2024,Active
145,PRD000145,Premium Jeans 145,3,21,125,7857.69,11936.88,386,10,19.03,Green,24,10/14/2025,Active
146,PRD000146,Wireless Router 146,7,85,295,38186.78,49897.83,80,10,11.96,Black,6,9/3/2025,Active
147,PRD000147,Smart Power Bank 147,7,101,88,35731.31,54645.73,459,30,5.22,Blue,36,7/14/2025,Active
148,PRD000148,Premium Shoes 148,21,79,128,9203.37,12330.15,486,30,14.75,Gray,24,5/26/2026,Active
149,PRD000149,Advanced Router 149,23,83,281,48600,66898.55,161,50,2.36,Black,36,2/11/2023,Active
150,PRD000150,Luxury T-Shirt 150,5,15,77,2881.5,4595.86,225,50,21.89,Silver,12,5/7/2023,Active
151,PRD000151,Pro Chair 151,23,35,159,40082.32,47695.4,69,20,23.34,Black,6,11/11/2021,Active
152,PRD000152,Luxury T-Shirt 152,6,62,1,33424.84,44170.81,308,30,2.73,Gray,24,10/24/2026,Active
153,PRD000153,Luxury T-Shirt 153,14,55,105,43955.02,54230.48,139,10,6.04,Gray,12,12/14/2021,Active
154,PRD000154,Elite Book 154,25,60,42,36114.03,51382.57,205,50,18.47,Green,6,8/28/2023,Active
155,PRD000155,Max Speaker 155,7,39,189,26944.66,37378.6,296,50,23.31,Red,6,4/23/2022,Active
156,PRD000156,Ultra Mouse 156,8,1,286,8287.21,10961.81,355,50,24.38,White,24,10/13/2024,Active
157,PRD000157,Essential Phone 157,20,2,181,12876.28,15932.89,337,10,15.53,Blue,24,9/6/2024,Active
158,PRD000158,Smart Vacuum 158,8,68,141,1384.29,1879.3,177,30,6.94,Blue,24,8/24/2021,Active
159,PRD000159,Ultra SSD 159,20,92,19,44357.5,59442.38,347,20,1.14,Silver,24,9/11/2024,Active
160,PRD000160,Pro Blender 160,4,69,160,43637.56,55540.7,399,30,2.61,Silver,24,2/24/2022,Active
161,PRD000161,Elite Vacuum 161,11,52,141,6639.24,8019.3,125,10,23.68,White,36,12/1/2023,Active
162,PRD000162,Digital Toy 162,15,58,93,35242,56353.4,156,10,9.59,Gray,12,8/21/2021,Active
163,PRD000163,Wireless Book 163,2,52,216,13589.3,20463.74,447,50,20.13,Red,36,5/23/2026,Active
164,PRD000164,Smart Toy 164,12,15,28,6731.62,8941.2,418,50,21.43,Black,6,7/11/2021,Active
165,PRD000165,Premium Vacuum 165,7,76,63,25593.85,35354.38,176,10,15.36,Black,24,4/1/2025,Active
166,PRD000166,Essential Helmet 166,16,37,266,17597.26,20916.97,276,30,17.94,White,36,11/10/2025,Active
167,PRD000167,Advanced Speaker 167,20,30,32,21587.12,26523.46,499,20,15.71,White,36,5/20/2022,Active
168,PRD000168,Classic Backpack 168,25,50,92,1923.65,2334.41,54,50,21,Green,24,5/6/2023,Active
169,PRD000169,Premium Sofa 169,4,10,33,8021.1,9908.64,88,10,10.48,Blue,12,6/3/2023,Active
170,PRD000170,Classic Speaker 170,4,81,179,32461.04,41583.57,303,10,4.46,Red,36,10/5/2023,Active
171,PRD000171,Advanced Mixer 171,24,40,33,6797.62,9584.58,41,20,22.62,Green,6,1/12/2023,Active
172,PRD000172,Max Jeans 172,12,63,33,12434.53,15624.19,489,30,0.18,Gray,24,12/10/2026,Active
173,PRD000173,Luxury Speaker 173,2,79,249,7630.03,10699.26,389,30,18.34,Red,24,2/17/2024,Active
174,PRD000174,Mini Vacuum 174,24,79,99,13538.99,21635.85,387,10,7.46,Red,6,9/3/2026,Active
175,PRD000175,Classic Router 175,15,20,9,8981.72,13274.44,242,20,8.16,Black,6,5/2/2026,Active
176,PRD000176,Eco Blender 176,22,49,38,36752.4,49155.18,154,30,10.6,Blue,24,3/2/2025,Active
177,PRD000177,Portable Fan 177,8,58,53,24858.95,35822.97,56,50,20.55,Blue,6,5/15/2026,Active
178,PRD000178,Luxury Book 178,7,88,212,45808.83,70647.61,77,10,9.67,Gray,36,9/10/2026,Active
179,PRD000179,Essential Keyboard 179,13,47,44,2164.05,3348.22,239,20,7.24,Gray,6,11/15/2022,Active
180,PRD000180,Advanced Fan 180,17,21,48,6448.15,9537.91,341,30,16.87,White,12,12/15/2024,Active
181,PRD000181,Classic Tablet 181,5,75,254,27865.47,39725.37,106,20,18.75,White,12,7/14/2023,Active
182,PRD000182,Smart SSD 182,20,90,11,48624.68,77440.99,433,20,0.44,Green,36,9/28/2021,Active
183,PRD000183,Essential Bottle 183,20,61,163,42729.55,53745.48,210,20,23.28,Red,12,1/24/2024,Active
184,PRD000184,Wireless Book 184,22,12,290,3536.83,4748.59,301,30,13.04,White,6,5/23/2023,Active
185,PRD000185,Classic Printer 185,21,3,214,33347.86,50540.33,81,30,18.03,Gray,36,1/2/2024,Active
186,PRD000186,Ultra Backpack 186,18,33,160,23285.47,31383.81,123,50,23.95,Silver,6,11/21/2025,Active
187,PRD000187,Essential Camera 187,5,34,148,11433.19,15353.61,200,10,0.33,Black,24,10/16/2023,Active
188,PRD000188,Advanced Monitor 188,16,74,287,40702.08,59780.24,170,10,14.65,Black,6,10/25/2025,Active
189,PRD000189,Digital Printer 189,25,48,74,16001.64,25275.41,144,10,19.39,Green,12,4/24/2021,Active
190,PRD000190,Pro Monitor 190,11,63,181,1259.43,1790.81,332,20,5.04,Silver,6,2/24/2025,Active
191,PRD000191,Max Jeans 191,5,35,56,20713.71,31334.53,22,20,23.33,Green,12,12/17/2023,Active
192,PRD000192,Pro Shoes 192,2,43,123,40022.96,49487.05,486,50,23.67,Silver,36,1/5/2022,Active
193,PRD000193,Luxury Keyboard 193,3,30,191,32134.53,43125.72,313,10,12.57,Gray,12,2/14/2021,Active
194,PRD000194,Ultra Mixer 194,5,73,162,35328.31,43469.93,44,20,5.7,Blue,12,12/25/2021,Active
195,PRD000195,Smart Printer 195,20,66,241,15640.42,19060.9,295,50,5.16,White,6,12/20/2024,Active
196,PRD000196,Compact Backpack 196,14,78,85,39410.39,53114.48,165,30,12.34,Black,6,4/14/2026,Active
197,PRD000197,Digital Printer 197,6,80,123,35879.87,45620.05,208,10,6.65,Blue,24,6/7/2025,Active
198,PRD000198,Ultra Bottle 198,16,95,150,39946.84,61322.34,225,50,4.43,White,6,12/19/2026,Active
199,PRD000199,Mini Monitor 199,1,3,71,34084.41,44057.5,64,30,14.19,Blue,12,8/3/2024,Active
200,PRD000200,Wireless Speaker 200,4,69,178,13028.97,16006.55,43,20,21.97,Red,12,5/24/2026,Active
201,PRD000201,Digital Bottle 201,25,84,108,11849.99,16567.5,210,30,6.8,Silver,6,7/24/2025,Active
202,PRD000202,Advanced Sofa 202,16,11,140,41018.78,61691.16,222,20,3.67,Silver,36,4/26/2021,Active
203,PRD000203,Mini Fan 203,19,55,89,14012.62,22033.35,280,50,10.4,White,6,8/10/2024,Active
204,PRD000204,Ultra Book 204,23,74,202,7255.48,10435.9,253,50,16.52,White,6,1/21/2021,Active
205,PRD000205,Max Jeans 205,20,5,287,5022.65,6954.59,78,50,21.21,Gray,36,8/16/2023,Active
206,PRD000206,Classic SSD 206,15,58,88,43921.11,64859.22,309,10,10.99,Blue,12,1/12/2022,Active
207,PRD000207,Mini Sofa 207,14,43,73,27568.57,38782.73,431,30,12.8,Blue,36,3/16/2022,Active
208,PRD000208,Mini T-Shirt 208,19,97,269,43648.14,51978.92,426,10,2.03,Blue,6,7/3/2023,Active
209,PRD000209,Luxury Shoes 209,10,9,239,9378.46,14989.73,437,30,8.37,Gray,24,1/22/2023,Active
210,PRD000210,Elite Headphones 210,10,39,293,908.65,1179.36,416,30,3.35,White,36,2/12/2023,Active
211,PRD000211,Luxury Bottle 211,12,75,93,24040.83,37609.76,256,10,12.6,White,36,6/24/2025,Active
212,PRD000212,Ultra Watch 212,19,14,113,20284.15,23758.82,90,50,9.36,Blue,6,9/26/2022,Active
213,PRD000213,Classic Laptop 213,7,5,228,22188.78,32409.61,331,30,24.98,Silver,12,4/22/2023,Active
214,PRD000214,Wireless Bag 214,22,27,29,10531.28,15643.34,356,20,23.39,Silver,12,6/16/2023,Active
215,PRD000215,Eco T-Shirt 215,1,79,163,36682.36,57012.7,209,10,4.12,Gray,24,8/24/2023,Active
216,PRD000216,Mini Laptop 216,4,49,276,16989.15,26431.19,471,50,11.3,Gray,6,10/5/2021,Active
217,PRD000217,Max Printer 217,1,96,107,44938.73,55321.68,130,10,6.19,Black,6,4/27/2022,Active
218,PRD000218,Digital Helmet 218,10,62,125,33152.19,51140.83,193,10,8.14,Green,36,9/13/2022,Active
219,PRD000219,Wireless Jeans 219,1,65,205,36964.76,58285.34,50,30,24.47,Green,24,12/21/2023,Active
220,PRD000220,Elite Bottle 220,10,73,139,40768.9,60306.05,350,30,15.24,Green,36,5/28/2024,Active
221,PRD000221,Eco Helmet 221,17,11,192,45950.76,57124.64,244,30,9.24,Blue,12,3/16/2024,Active
222,PRD000222,Elite Mixer 222,23,18,267,46524.01,60598.04,483,50,10.47,Black,36,6/12/2023,Active
223,PRD000223,Luxury Mixer 223,24,2,209,30042.7,40041.24,115,50,17.43,Red,6,1/28/2024,Active
224,PRD000224,Digital Mixer 224,9,40,211,36482.66,46360.13,490,50,5.8,Red,12,3/12/2022,Active
225,PRD000225,Ultra Phone 225,4,18,87,1416.22,2037,54,50,3.5,Gray,12,1/14/2021,Active
226,PRD000226,Digital Phone 226,2,49,199,15118.46,18217.14,291,20,12.05,Silver,24,11/5/2026,Active
227,PRD000227,Eco Book 227,12,50,40,31035.46,40219.1,221,50,6.9,Green,36,4/22/2025,Active
228,PRD000228,Smart Helmet 228,20,48,266,43129.42,63935.64,372,20,4.34,Gray,24,5/16/2022,Active
229,PRD000229,Smart Backpack 229,15,95,30,11509.82,15286.2,375,10,21.37,Green,12,7/8/2022,Active
230,PRD000230,Max Shoes 230,9,24,273,17765.41,21128.88,24,50,16.54,Gray,36,6/19/2026,Active
231,PRD000231,Wireless Jeans 231,23,49,15,32635.3,50509.6,261,30,1.6,Gray,24,10/12/2022,Active
232,PRD000232,Pro Sofa 232,7,30,29,24870.32,32554.02,76,30,1.45,Red,24,1/5/2024,Active
233,PRD000233,Mini Speaker 233,14,28,38,36324.31,56919.65,333,50,14.07,Silver,24,10/14/2021,Active
234,PRD000234,Wireless Backpack 234,22,93,7,16689.97,22875,473,30,24.3,Silver,12,10/6/2025,Active
235,PRD000235,Digital Sofa 235,19,51,51,16373.68,24125.98,259,50,24.04,Green,12,11/11/2025,Active
236,PRD000236,Essential Backpack 236,9,42,78,20356.38,27812.56,20,10,20.06,Silver,12,2/26/2022,Active
237,PRD000237,Eco Speaker 237,5,35,118,39303.63,58346.58,119,20,4.28,Red,6,8/5/2026,Active
238,PRD000238,Eco Desk 238,5,91,27,39987.92,51330.79,428,10,13.65,Red,36,9/24/2025,Active
239,PRD000239,Advanced Monitor 239,1,29,10,8174.79,12884.97,55,10,8.17,Gray,36,11/26/2022,Active
240,PRD000240,Classic Mixer 240,15,85,300,21044.34,25464.42,262,20,1.44,Green,6,8/19/2026,Active
241,PRD000241,Essential Mixer 241,21,87,222,39486.17,52901.3,318,50,12.94,Green,36,3/10/2025,Active
